"","I","DISPATCH","UNIT_SCADA","X1","SETTLEMENTDATE","DUID","SCADAVALUE"
"249","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 20:40:00","LK_ECHO",0
"250","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 20:45:00","LK_ECHO",0
"251","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 20:50:00","LK_ECHO",0
"252","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 20:55:00","LK_ECHO",0
"253","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 21:00:00","LK_ECHO",0
"254","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 21:05:00","LK_ECHO",0
"255","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 21:10:00","LK_ECHO",0
"256","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 21:15:00","LK_ECHO",0
"257","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 21:20:00","LK_ECHO",0
"258","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 21:25:00","LK_ECHO",0
"259","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 21:30:00","LK_ECHO",0
"260","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 21:35:00","LK_ECHO",0
"261","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 21:40:00","LK_ECHO",0
"262","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 21:45:00","LK_ECHO",0
"263","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 21:50:00","LK_ECHO",0
"264","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 21:55:00","LK_ECHO",0
"265","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 22:00:00","LK_ECHO",0
"266","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 22:05:00","LK_ECHO",0
"267","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 22:10:00","LK_ECHO",0
"268","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 22:15:00","LK_ECHO",0
"269","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 22:20:00","LK_ECHO",0
"270","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 22:25:00","LK_ECHO",0
"271","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 22:30:00","LK_ECHO",0
"272","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 22:35:00","LK_ECHO",0
"273","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 22:40:00","LK_ECHO",0
"274","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 22:45:00","LK_ECHO",0
"275","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 22:50:00","LK_ECHO",0
"276","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 22:55:00","LK_ECHO",0
"277","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 23:00:00","LK_ECHO",0
"278","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 23:05:00","LK_ECHO",0
"279","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 23:10:00","LK_ECHO",0
"280","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 23:15:00","LK_ECHO",0
"281","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 23:20:00","LK_ECHO",0
"282","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 23:25:00","LK_ECHO",0
"283","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 23:30:00","LK_ECHO",0
"284","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 23:35:00","LK_ECHO",0
"285","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 23:40:00","LK_ECHO",0
"286","D","DISPATCH","UNIT_SCADA",1,"2017/01/10 23:45:00","LK_ECHO",0
